0 	 16972.3
1 	 17087.8
2 	 17187.2
3 	 17283.3
4 	 17376.6
5 	 17468.3
6 	 17571.6
7 	 17658.9
8 	 17728
9 	 17805.5
10 	 17901.7
11 	 17953.4
12 	 18075.4
13 	 18145.4
14 	 18185.4
15 	 18226.5
16 	 18295.4
17 	 18318.8
18 	 18308
19 	 18275.2
20 	 18213.5
21 	 18242.6
22 	 18219.4
23 	 18242.6
24 	 18254.1
25 	 18169.6
26 	 18062.2
27 	 17928.8
28 	 17762.3
29 	 17615.6
30 	 17254.6
31 	 16914.4
32 	 16533.1
33 	 16057.3
34 	 15757.8
35 	 15467.6
36 	 15309
37 	 15319.5
38 	 15660.2
39 	 15986.2
40 	 16715.2
41 	 17623.1
42 	 17630.3
43 	 10726.3
