0 	 16999
1 	 16875.8
2 	 16902.8
3 	 16987
4 	 17102
5 	 17192.3
6 	 17276.8
7 	 17379.3
8 	 17433.6
9 	 17524.9
10 	 17575.4
11 	 17991.3
12 	 17832.1
13 	 17836.5
14 	 17860.5
15 	 17896.3
16 	 17987.4
17 	 17995.1
18 	 17988.5
19 	 17944.2
20 	 17931.7
21 	 17921.9
22 	 18232.4
23 	 17964.8
24 	 17946.4
25 	 17834.3
26 	 17733.6
27 	 17604.2
28 	 17458.6
29 	 17297.5
30 	 16971.7
31 	 16643.1
32 	 16276
33 	 16067.5
34 	 15536.8
35 	 15246.3
36 	 15085.9
37 	 15077.9
38 	 15414.1
39 	 15721.4
40 	 16470.3
41 	 17317.7
42 	 17346
43 	 10467.1
