0 	 16820.8
1 	 16920.9
2 	 17012.6
3 	 17120
4 	 17229.8
5 	 17336.7
6 	 17424.2
7 	 17505.8
8 	 17600.2
9 	 17716
10 	 17806.6
11 	 17881.4
12 	 17934.7
13 	 18032.4
14 	 18131.1
15 	 18168
16 	 18223.4
17 	 18271
18 	 18347.6
19 	 18358.5
20 	 18317.5
21 	 18303.4
22 	 18290.4
23 	 18293
24 	 18256.2
25 	 18273.9
26 	 18273.1
27 	 18218.5
28 	 18107.4
29 	 17929.5
30 	 17810.6
31 	 17654.9
32 	 17311
33 	 16940.4
34 	 16574.7
35 	 16220.6
36 	 15711.9
37 	 15458.9
38 	 15313.8
39 	 15336.6
40 	 15632.5
41 	 15982.6
42 	 16742.8
43 	 17619.2
44 	 17640.2
45 	 10673.8
46 	 empty
47 	 empty
