0 	 16845.8
1 	 16907.7
2 	 16983.8
3 	 17106
4 	 17204.1
5 	 17336.8
6 	 17420.4
7 	 17475.9
8 	 17606.7
9 	 17678.6
10 	 17802.6
11 	 17848.5
12 	 17966
13 	 17992
14 	 18095.5
15 	 18169.1
16 	 18190
17 	 18271.3
18 	 18307
19 	 18305.7
20 	 18320
21 	 18262
22 	 18296.4
23 	 18251.7
24 	 18255.7
25 	 18240.8
26 	 18229.5
27 	 18197.5
28 	 18049.5
29 	 17929.7
30 	 17772.9
31 	 17589.4
32 	 17297.3
33 	 16892.7
34 	 16545.8
35 	 16177.3
36 	 15722.3
37 	 15421.7
38 	 15266.4
39 	 15319.8
40 	 15597.5
41 	 15990.7
42 	 16744.3
43 	 17599.3
44 	 17578.9
45 	 10711.5
46 	 empty
47 	 empty
