0 	 16971.6
1 	 17053.4
2 	 17171
3 	 17246.8
4 	 17356.5
5 	 17453.1
6 	 17540.7
7 	 17639.3
8 	 17715
9 	 17782.9
10 	 17871.7
11 	 17937.1
12 	 18043.3
13 	 18132.8
14 	 18146
15 	 18174.5
16 	 18279.6
17 	 18295.9
18 	 18284.8
19 	 18243.7
20 	 18195.4
21 	 18216.6
22 	 18207.4
23 	 18217
24 	 18222.6
25 	 18144.8
26 	 18025.3
27 	 17900.3
28 	 17743.8
29 	 17551
30 	 17221.8
31 	 16876.5
32 	 16512.2
33 	 16036.3
34 	 15722.5
35 	 15441.2
36 	 15283.4
37 	 15295
38 	 15631.2
39 	 15959
40 	 16697.7
41 	 17568.5
42 	 17595
43 	 10676.4
