0 	 16814.3
1 	 16680.2
2 	 16722.4
3 	 16825.4
4 	 16909.3
5 	 17016.2
6 	 17126.2
7 	 17213.1
8 	 17300.3
9 	 17388.2
10 	 17472.3
11 	 17553.5
12 	 17934
13 	 17743.7
14 	 17790
15 	 17839.8
16 	 17858.4
17 	 17916.9
18 	 17996.5
19 	 18017.2
20 	 17997.4
21 	 17967.2
22 	 17959
23 	 17962.9
24 	 18267.2
25 	 17976.9
26 	 17953
27 	 17883.9
28 	 17778.8
29 	 17627.8
30 	 17505.9
31 	 17338.4
32 	 17017.4
33 	 16639.3
34 	 16287.8
35 	 15942.6
36 	 15705.4
37 	 15250.9
38 	 15085
39 	 15092.8
40 	 15388.5
41 	 15695.4
42 	 16447.5
43 	 17347
44 	 17277.6
45 	 10417.5
46 	 empty
47 	 empty
